"","cty_yr","year","cty","dummy_70","dummy_80","pre_85","post_85","entry_res","polity4","under_imf","signed_imf","wb_all","regime","type2","emil","democracy","gdp","gdp_pc","cur_bop_pcnt","netFDI_pcnt","netFDIout_pcnt","hitech_xprt","iso","mil_govt","mil_gdp","arms_xprt","arms_imprt","time_since_independence","eng_col","fra_col","spa_col","age_of_demo","age_of_demo_p","warnock_smooth","warnock_unsmooth","aid_gdp","aid_govt","aid_gcf","pop","urban","trade_gdp","gdp_grow","cty_1","currency","bank","reschedule","ratiosk","surpe","plp","left_party","entryres_lang","approve_lang","entry_res_colony","belgium_colony","france_colony","dutch_colony","spain_colony","uk_colony","glob_fdi","approve_agg"
"1","arg1970","1970","arg",1,0,1,0,NA,-9,0,0,0,4,0,1,0,1.5856e+11,6617.040271,2603,361,157,1,1,1,1,2,594,146,0,0,1,0,0,NA,NA,0.030727406,NA,0.120996821,23962314,18906265.75,10.33744408,3.045643341,"argentina",0,0,0,NA,NA,NA,NA,0.143911439114391,1,0.0719557195571956,0,0,0,1,0,109125.12,NA
"2","arg1971","1971","arg",1,0,1,0,NA,-9,0,0,2,4,0,1,0,1.67531e+11,6879.166473,2603,361,157,1,1,1,1,1,812,147,0,0,1,0,0,NA,NA,0.0823854,NA,0.345166921,24353402,19317118.47,12.61518892,5.658131081,"argentina",0,0,0,NA,NA,NA,NA,0.100861008610086,1,0.0756457564575646,0,0,0,1,0,124253.72,NA
"3","arg1972","1972","arg",1,0,1,0,NA,-9,0,0,0,4,0,1,0,1.70259e+11,6874.274711,2603,361,157,1,1,1,1,627,862,148,0,0,1,0,0,NA,NA,0.068188131,NA,0.281023096,24767589,19749675.47,14.0356432,1.628416499,"argentina",0,0,0,0.6717,0.3184,2.425113,NA,0.276014760147601,0.95479704797048,0.270848708487085,0,0,0,1,0,139359.15,NA
"4","arg1973","1973","arg",1,0,1,0,NA,6,0,0,0,2,0,1,1,1.75046e+11,6947.352258,2603,361,157,1,1,1,1,1,517,149,0,0,1,1,1,NA,NA,0.08660485,NA,0.41590592,25196143,20197228.23,13.32216851,2.81175404,"argentina",0,0,0,0.661,0.3114,2.439622,NA,0.745914602003163,0.688455455983131,0.742224565102794,0,0,0,1,0,163443.43,NA
"5","arg1974","1974","arg",1,0,1,0,NA,6,0,0,0,2,0,0,1,1.84733e+11,7208.704256,2603,361,157,1,1,1,1,1,926,150,0,0,1,2,2,NA,NA,0.049422199,NA,0.222764291,25626410,20649761.18,13.19157986,5.533804401,"argentina",0,0,0,0.6488,0.3046,2.448265,NA,0.861887190300474,0.700579862941487,0.857142857142857,0,0,0,1,0,191560.89,NA
"6","arg1975","1975","arg",1,0,1,0,0.0627306273062731,6,0,0,0,2,0,0,1,1.84681e+11,7089.645633,2603,361,157,1,1,1,1,1,324,151,0,0,1,3,3,NA,NA,0.049503172,NA,0.170418255,26049359,21099980.79,11.8027243,-0.028412088,"argentina",1,0,0,0.6706,0.298,2.586936,1,0.762484624846248,0.738007380073801,0.681044143774771,0,0,0,1,0,206746.86,1
"7","arg1976","1976","arg",1,0,1,0,0.0627306273062731,-9,1,1,1,4,0,1,0,1.80953e+11,6838.2955,2853,361,157,1,1,1,1,3,1014,152,0,0,1,0,0,NA,NA,0.059724525,NA,0.194414936,26461770,21534588.43,15.09688462,-2.018251533,"argentina",1,0,0,0.6775,0.3586,2.171944,1,0.796657707317814,0.777777777777778,0.711087877545442,0,0,0,1,0,218174.86,1
"8","arg1977","1977","arg",1,0,1,0,0.0627306273062731,-9,1,1,2,4,0,1,0,1.93501e+11,7202.261292,2952,1076,4,1,1,1,1,1,333,153,0,0,1,0,0,NA,NA,0.049556966,NA,0.15891627,26866698,21966212.28,16.94228657,6.934147763,"argentina",1,0,0,0.6842,0.3571,2.202307,0,0.494481096326115,0.673636736367364,0.398204679016487,0,0,0,1,0,246468.21,0.0996309963099631
"9","arg1978","1978","arg",1,0,1,0,0.0627306273062731,-9,0,0,2,4,0,1,0,1.84782e+11,6776.259511,3198,1421,65,1,1,1,1,1,1003,154,0,0,1,0,0,NA,NA,0.048790229,NA,0.174396311,27268965,22398727.85,14.32379637,-4.506124798,"argentina",0,0,0,0.6681,0.3553,2.161266,0,0.652481767241915,0.673636736367364,0.556205349932287,0,0,0,1,0,293156.12,0.0996309963099631
"10","arg1979","1979","arg",1,0,1,0,0.0627306273062731,-9,0,0,2,4,0,1,0,2.03671e+11,7359.103583,192,1171,84,1,1,1,1,596,728,155,0,0,1,0,0,NA,NA,0.062629173,NA,0.240025711,27676111,22838326.8,12.84068464,10.22276345,"argentina",0,0,0,0.6705,0.3535,2.180212,0,0.642418030240908,0.784747847478475,0.556205349932287,0,0,0,1,0,355048.24,0.0996309963099631
"11","arg1980","1980","arg",0,1,1,0,0.0627306273062731,-9,0,0,3,4,0,1,0,2.12127e+11,7550.758026,2121,2242,105,1,1,1,1,3,1052,156,0,0,1,0,0,NA,NA,0.025535293,NA,0.100211544,28093513,23289522.28,11.54567246,4.15176235,"argentina",0,1,0,0.6887,0.3021,2.620115,0,0.325304612020479,0.777777777777778,0.349953305088606,0,0,0,1,0,401269.07,0.0996309963099631
"12","arg1981","1981","arg",0,1,1,0,0.0627306273062731,-8,0,0,3,4,0,1,0,2.00058e+11,7014.133836,2088,2479,104,1,1,1,1,314,1187,157,0,0,1,0,0,NA,NA,0.05668767,NA,0.243997634,28522164,23764667.04,14.29297748,-5.689528,"argentina",0,1,0,0.6532,0.2973,2.52549,0,0.327007705974496,0.777777777777778,0.349953305088606,0,0,0,1,0,412996.31,0.151291512915129
"13","arg1982","1982","arg",0,1,1,0,0,-8,0,0,0,4,0,1,0,1.90141e+11,6565.687728,1154,1103,58,1,1,1,1,423,823,158,0,0,1,0,0,NA,NA,0.037529736,NA,0.162149933,28959804,24250939.87,15.6114861,-4.957178519,"argentina",1,1,0,0.5978,0.2922,2.351813,0,0.252923118974779,0.777777777777778,0.264467450230058,0,0,0,1,0,419039.04,0.151291512915129
"14","arg1983","1983","arg",0,1,1,0,0,8,1,1,1,2,0,0,1,1.97509e+11,6716.934284,1019,919,189,1,1,1,1,3,164,159,0,0,1,1,1,NA,NA,0.047923889,NA,0.2164014,29404669,24746969.43,14.98767011,3.875123433,"argentina",1,0,0,0.5779,0.2786,2.384045,0,0.252923118974779,0.777777777777778,0.264467450230058,0,0,0,1,0,449360.21,0.151291512915129
"15","arg1984","1984","arg",0,1,1,0,0,8,1,1,0,2,0,0,1,2.01878e+11,6762.181491,1346,1245,157,1,1,1,1,657,1157,160,0,0,1,2,2,NA,NA,0.06465609,NA,0.307093089,29853929,25250453.15,12.34638143,2.211773504,"argentina",1,0,0,0.5815,0.282,2.370224,0,0.323601518066463,0.777777777777778,0.341035715912715,0,0,0,1,0,457798.58,0.151291512915129
"16","arg1985","1985","arg",0,1,0,1,0.003690036900369,8,1,0,2,2,0,0,1,1.86562e+11,6156.071328,288,2443,157,1,1,1,1,1,951,161,0,0,1,3,3,NA,NA,0.046634198,NA,0.250905577,30305347,25759544.95,18.00942507,-7.58667719,"argentina",1,1,1,0.5716,0.255,2.576423,0,0.332684685821217,0.66789667896679,0.349645802013576,0,0,0,1,0,552401.15,0.14760147601476
"17","arg1986","1986","arg",0,1,0,1,0.003690036900369,8,1,0,4,2,0,0,1,2.01255e+11,6543.164123,1081,1624,157,1,1,1,1,1,478,162,0,0,1,4,4,NA,NA,0.081059479,NA,0.443237359,30758067,26267389.22,14.48603279,7.875779831,"argentina",1,1,0,0.5893,0.251,2.698879,0,0.182244719883096,0.612546125461255,0.186669172247278,0,0,0,1,0,711541.65,0.14760147601476
"18","arg1987","1987","arg",0,1,0,1,0.003690036900369,8,1,1,4,2,0,0,1,2.07112e+11,6635.600685,1527,46,157,1,1,1,1,503,483,163,0,0,1,5,5,NA,NA,0.09375809,NA,0.457180113,31212184,26780053.87,15.44896988,2.909993136,"argentina",1,1,1,0.5909,0.2471,2.7485,0,0.256613155875148,0.612546125461255,0.269079996355519,0,0,0,1,0,850969.07,0.14760147601476
"19","arg1988","1988","arg",0,1,0,1,0.003690036900369,8,1,0,7,2,0,0,1,2.01816e+11,6372.979211,330,2278,157,1,1,1,580,1,1162,164,0,0,1,6,6,NA,NA,0.126412502,NA,0.648671631,31667441,27297334.14,15.74345861,-2.556904885,"argentina",1,0,0,0.5426,0.2441,2.554876,0,0.181109323913752,0.612546125461255,0.18728417839734,0,0,0,1,0,1015909.44,0.114391143911439
"20","arg1989","1989","arg",0,1,0,1,0.003690036900369,7,1,1,1,2,0,0,1,1.86687e+11,5811.501355,454,2757,157,1,1,1,590,1,182,165,0,0,1,7,7,0.153155,0.082811,0.300030778,NA,1.771911627,32123788,27819200.41,19.6377977,-7.496189573,"argentina",1,1,1,0.5334,0.2449,2.503191,0,0.132003448239611,0.512546125461255,0.131318618741743,0,0,0,1,0,1211420.25,0.114391143911439
"21","arg1990","1990","arg",0,0,0,1,0.003690036900369,7,1,0,2,2,0,0,1,1.82209e+11,5592.512965,3200,2724,157,1,1,1,352,596,341,166,0,0,1,8,8,0.13807,0.165699,0.124853841,NA,0.852865532,32580860,28345348.2,14.990859,-2.398959224,"argentina",1,1,0,0.536,0.2365,2.605349,0,0.12121718653084,0.612546125461255,0.119633501890574,0,0,0,1,0,1418775.94,0.114391143911439
"22","arg1991","1991","arg",0,0,0,1,0.011070110701107,7,1,1,6,2,0,0,1,2.05294e+11,6213.827208,88,2711,157,1,1,1,437,2,700,167,0,0,1,9,9,0.119756,0.053368,0.148854517,NA,0.985549782,33038289,28855641.61,13.75305415,12.6697101,"argentina",1,1,1,NA,0.2341,NA,0,0.0411717706920659,0.616236162361624,0.0319951255068106,0,0,0,1,0,1609241.36,0.114391143911439
"23","arg1992","1992","arg",0,0,0,1,0.003690036900369,7,1,1,3,2,0,0,1,2.29808e+11,6860.99549,1041,3136,1206,1282,1,1,461,1,677,168,0,0,1,10,10,0.092986,0.015901,0.117529938,NA,0.690574537,33494839,29368274.84,14.73098058,11.94077473,"argentina",1,0,1,NA,0.2365,NA,0,0.0482679955004678,0.416236162361624,0.0390676962325179,0,0,0,1,0,1667975.75,0.114391143911439
"24","arg1993","1993","arg",0,0,0,1,0.003690036900369,7,1,0,5,2,0,0,1,2.43383e+11,7169.224663,1422,2600,1012,1184,1,1,565,4,229,169,0,0,1,11,11,0.106309,0.018373,0.096815539,NA,0.50145415,33948233,29881234.69,16.2231515,5.906919494,"argentina",1,0,0,0.6684,0.2368,3.244548,0,0.0454295055771071,0.22140221402214,0.0359926654822104,0,0,0,1,0,1999241.12,0.011070110701107
"25","arg1994","1994","arg",0,0,0,1,0,7,1,0,3,2,0,0,1,2.57587e+11,7488.936927,1683,2809,1108,1035,1,1,531,503,459,170,0,0,1,12,12,0.106106,0.019013,0.057593865,NA,0.284857682,34395643,30391990.15,18.12188027,5.836200697,"argentina",0,0,0,0.6608,0.2167,3.504419,0,0.0397525257303855,0.22140221402214,0.0295351009065646,0,0,0,1,0,2137026.63,0.011070110701107
"26","arg1995","1995","arg",0,0,0,1,0,7,1,0,13,2,0,0,1,2.50258e+11,7184.114271,536,3378,1249,904,1,1,622,503,1181,170,0,0,1,13,13,0.097758,0.006026,0.056259809,NA,0.308004231,34834902,30898558.07,19.72411324,-2.845209611,"argentina",1,1,0,NA,0.2138,NA,0,0.033021408645459,0.186056443897772,0.0285681745706346,0,0,0,1,0,2519712.78,0.011070110701107
"27","arg1996","1996","arg",0,0,0,1,0.014760147601476,7,1,1,6,2,0,0,1,2.64089e+11,7488.51723,1060,3538,1257,1123,1,1,516,1,1092,170,0,0,1,14,14,0.097597,0.007259,0.049039001,NA,0.2657557,35265846,31379549.77,21.46781205,5.526689828,"argentina",1,1,0,NA,0.2167,NA,0,0.0460434604346043,0.0244110133409026,0.0406204728713954,0,0,0,1,0,2870597.29,0.029520295202952
"28","arg1997","1997","arg",0,0,0,1,0.025830258302583,7,1,0,15,2,0,0,1,2.85509e+11,8000.007543,1653,3755,1556,1059,1,1,419,1,205,170,0,0,1,15,15,0.095107,0.003578,0.035680093,NA,0.180336927,35688625,31855666.68,23.3013249,8.111046758,"argentina",1,1,0,NA,0.2038,NA,0,0.048643368786629,0.0985893906558113,0.0425830258302583,0,0,0,1,0,3075667.94,0
"29","arg1998","1998","arg",0,0,0,1,0.003690036900369,7,1,1,12,2,0,0,1,2.96502e+11,8212.9023,1814,3495,1387,1158,1,1,410,1,495,170,0,0,1,16,16,0.091801,0.001167,0.027158866,NA,0.132863007,36101962,32325696.77,23.3166026,3.850178869,"argentina",0,1,0,NA,NA,NA,0,0.033232038202735,0.171072258341631,0.0285608856088561,0,0,0,1,0,3688721.62,0.014760147601476
"30","arg1999","1999","arg",0,0,0,1,0,8,1,0,3,2,0,0,1,2.86464e+11,7847.365519,1671,4394,1276,1317,1,1,466,1,797,170,0,0,1,17,17,0.095423,0.004874,0.028011273,NA,0.151388477,36504473,32788317.65,21.3220784,-3.385457053,"argentina",0,1,0,NA,NA,NA,0,0.0903386079514878,0.244872996349011,0.0982017138579346,0,0,0,1,0,4372336.52,0.014760147601476
"31","arg2000","2000","arg",0,0,0,1,0.033210332103321,8,1,1,2,2,0,0,1,2.84204e+11,7702.893639,1348,3890,1035,1374,1,1,436,265,515,170,0,0,1,18,18,0.102338,0.014085,0.019077846,NA,0.114688975,36895712,33243036.51,22.40473611,-0.788998922,"argentina",0,1,0,NA,NA,NA,0,0.0297738030058088,0.170795993674222,0.0339896458666079,0,0,0,1,0,5272429.95,0
"32","aus1970","1970","aus",1,0,1,0,NA,10,0,0,NA,0,0,0,1,1.56129e+11,12483.29292,988,3402,993,1,1,1,1,2,537,70,1,0,0,70,70,NA,NA,NA,NA,NA,12507000,10668471,26.66592871,7.155922108,"australia",0,0,0,NA,NA,NA,NA,0.0118518518518519,NA,0.0719557195571956,0,0,0,0,1,109125.12,NA
"33","aus1971","1971","aus",1,0,1,0,NA,10,0,0,NA,0,0,0,1,1.62402e+11,12553.29311,932,3552,927,1,1,1,1,553,608,71,1,0,0,71,71,NA,NA,NA,NA,NA,12937000,11050785.4,26.05154665,4.018104734,"australia",0,0,0,NA,NA,NA,NA,0.0203316477609221,0,0.0756457564575646,0,0,0,0,1,124253.72,NA
"34","aus1972","1972","aus",1,0,1,0,NA,10,0,0,NA,0,0,0,1,1.68811e+11,12811.07227,2774,3325,956,1,1,1,1,618,1075,72,1,0,0,72,72,NA,NA,NA,NA,NA,13177000,11271605.8,25.29049114,3.946717536,"australia",1,0,0,0.7085,0.1434,5.678395532,NA,0.265248735820692,0.5,0.270848708487085,0,0,0,0,1,139359.15,NA
"35","aus1973","1973","aus",1,0,1,0,NA,10,0,0,NA,0,0,0,1,1.73308e+11,12952.79373,2720,1041,1127,1,1,1,1,669,1169,73,1,0,0,73,73,NA,NA,NA,NA,NA,13380000,11461308,25.66108847,2.663847419,"australia",1,0,0,0.7089,0.1465,5.562512647,NA,0.250461254612546,0.5,0.742224565102794,0,0,0,0,1,163443.43,NA
"36","aus1974","1974","aus",1,0,1,0,0.003690036900369,10,0,0,NA,0,0,0,1,1.80305e+11,13138.91218,1367,2898,997,1,1,1,1,608,1272,74,1,0,0,74,74,NA,NA,NA,NA,NA,13723000,11771589.4,26.88488539,4.037261047,"australia",1,0,0,0.7317,0.1425,5.90328621,NA,0.250461254612546,0.666666666666667,0.857142857142857,0,0,0,0,1,191560.89,NA
"37","aus1975","1975","aus",1,0,1,0,0.003690036900369,10,0,0,NA,0,0,0,1,1.82464e+11,13133.50431,295,1527,824,1,1,1,1,23,63,75,1,0,0,75,75,NA,NA,NA,NA,NA,13893000,11934087,29.59297823,1.197127108,"australia",0,0,0,0.7692,0.1476,5.990823247,1,0.384686346863469,0.555555555555556,0.681044143774771,0,0,0,0,1,206746.86,NA
"38","aus1976","1976","aus",1,0,1,0,0.025830258302583,10,0,0,NA,0,0,0,1,1.874e+11,13354.26055,505,2412,965,1,1,1,1,608,1301,76,1,0,0,76,76,NA,NA,NA,NA,NA,14033000,12051540.4,27.40532994,2.705503017,"australia",1,0,0,0.746,0.1481,5.78923079,0,0.25239852398524,0.5,0.711087877545442,0,0,0,0,1,218174.86,NA
"39","aus1977","1977","aus",1,0,1,0,0.025830258302583,10,0,0,NA,0,0,0,1,1.93888e+11,13661.80216,1167,2468,942,1,1,1,1,453,648,77,1,0,0,77,77,NA,NA,NA,NA,NA,14192000,12185251.2,29.2460347,3.462084438,"australia",1,0,0,0.749,0.1478,5.823592814,0,0.194152710757877,0.538461538461538,0.398204679016487,0,0,0,0,1,246468.21,NA
"40","aus1978","1978","aus",1,0,1,0,0.0479704797047971,10,0,0,NA,0,0,0,1,1.95625e+11,13624.83477,1569,2828,877,1,1,1,1,183,29,78,1,0,0,78,78,NA,NA,NA,NA,NA,14358000,12324907.2,28.7839284,0.895918621,"australia",1,0,0,0.7395,0.1475,5.763620493,0,0.140971254156986,0.538461538461538,0.556205349932287,0,0,0,0,1,293156.12,NA
"41","aus1979","1979","aus",1,0,1,0,0.0479704797047971,10,0,0,NA,0,0,0,1,2.03825e+11,14043.36517,942,2547,969,1,1,1,1,339,425,79,1,0,0,79,79,NA,NA,NA,NA,NA,14514000,12455914.8,30.24595803,4.191697753,"australia",0,0,0,0.7421,0.1476,5.78006514,0,0.11391098355428,0.538461538461538,0.556205349932287,0,0,0,0,1,355048.24,NA
"42","aus1980","1980","aus",0,1,1,0,0.0479704797047971,10,0,0,NA,0,0,0,1,2.10216e+11,14308.20769,1318,2700,1030,1,1,1,1,85,882,80,1,0,0,80,80,NA,NA,NA,NA,NA,14692000,12605736,32.92798424,3.135421411,"australia",0,0,0,0.7172,0.1468,5.617533641,0,0.106791547082137,0.538461538461538,0.349953305088606,0,0,0,0,1,401269.07,NA
"43","aus1981","1981","aus",0,1,1,0,0.025830258302583,10,0,0,NA,0,0,0,1,2.17332e+11,14559.65158,1846,2766,1132,1,1,1,1,103,886,81,1,0,0,81,81,NA,NA,NA,NA,NA,14927000,12798409.8,32.20594139,3.384958992,"australia",0,0,0,0.6944,0.1399,5.704511791,0,0.129854277709444,0.428571428571429,0.349953305088606,0,0,0,0,1,412996.31,NA
"44","aus1982","1982","aus",0,1,1,0,0.025830258302583,10,0,0,NA,0,0,0,1,2.24221e+11,14772.76816,1734,2669,1087,1,1,1,1,424,225,82,1,0,0,82,82,NA,NA,NA,NA,NA,15178000,13004510.4,30.96144472,3.169877641,"australia",0,0,0,0.7074,0.1326,6.130002602,0,0.128944681603679,0.428571428571429,0.264467450230058,0,0,0,0,1,419039.04,NA
"45","aus1983","1983","aus",0,1,1,0,0.025830258302583,10,0,0,NA,0,0,0,1,2.18907e+11,14243.40463,1475,3026,1017,1,1,1,1,339,1152,83,1,0,0,83,83,NA,NA,NA,NA,NA,15369000,13158937.8,29.81551686,-2.37006683,"australia",1,0,0,0.7236,0.1285,6.473530558,0,0.225510906265047,0.357142857142857,0.264467450230058,0,0,0,0,1,449360.21,NA
"46","aus1984","1984","aus",0,1,1,0,1,10,0,0,NA,0,0,0,1,2.29145e+11,14741.70938,1772,951,1359,1,1,1,1,608,1142,84,1,0,0,84,84,NA,NA,NA,NA,NA,15544000,13299446.4,29.16489512,4.67698623,"australia",1,0,0,0.7101,0.1253,6.513962701,1,0.225510906265047,0.357142857142857,0.341035715912715,0,0,0,0,1,457798.58,NA
"47","aus1985","1985","aus",0,1,0,1,0.003690036900369,10,0,0,NA,0,0,0,1,2.41348e+11,15315.87218,1896,2584,1504,1,1,1,1,286,1009,85,1,0,0,85,85,NA,NA,NA,NA,NA,15758000,13473090,33.11310142,5.325176712,"australia",1,0,0,0.6979,0.1206,6.651563322,1,0.165652100810603,0.357142857142857,0.349645802013576,0,0,0,0,1,552401.15,0.0516605166051661
"48","aus1986","1986","aus",0,1,0,1,0,10,0,0,NA,0,0,0,1,2.52076e+11,15736.67985,1968,3693,1669,1,1,1,1,652,1273,86,1,0,0,86,86,NA,NA,NA,NA,NA,16018400,13692528.32,33.77524733,4.445423325,"australia",1,0,0,0.6853,0.1167,6.751961262,1,0.156859210421166,0.201722017220172,0.186669172247278,0,0,0,0,1,711541.65,0.0516605166051661
"49","aus1987","1987","aus",0,1,0,1,0,10,0,0,NA,0,0,0,1,2.58172e+11,15873.94982,1695,3642,1766,1,1,1,1,52,1097,87,1,0,0,87,87,NA,NA,NA,NA,NA,16263900,13899128.94,33.40825471,2.41827446,"australia",1,0,0,0.6775,0.1135,6.862389605,1,0.102537463499993,0.164575645756458,0.269079996355519,0,0,0,0,1,850969.07,0.0590405904059041
"50","aus1988","1988","aus",0,1,0,1,0,10,0,0,NA,0,0,0,1,2.71486e+11,16421.64669,1881,3774,1747,1284,1,1,1129,209,1225,88,1,0,0,88,88,NA,NA,NA,NA,NA,16532200,14125111.68,33.17958623,5.156871294,"australia",0,0,0,0.6691,0.1095,7.023428059,1,0.0777566933042317,0.231242312423124,0.18728417839734,0,0,0,0,1,1015909.44,0.0590405904059041
"51","aus1989","1989","aus",0,1,0,1,0.0701107011070111,10,0,0,NA,0,0,0,1,2.81524e+11,16743.03421,2106,3503,1476,1297,1,1,1036,314,1178,89,1,0,0,89,89,NA,NA,NA,NA,NA,16814400,14362860.48,32.49124998,3.697475716,"australia",0,1,0,0.6707,0.1052,7.3310174,1,0.132492240659705,0.231242312423124,0.131318618741743,0,0,0,0,1,1211420.25,0.018450184501845
"52","aus1990","1990","aus",0,0,0,1,0.003690036900369,10,0,0,NA,0,0,0,1,2.92608e+11,17146.57458,1904,3581,1051,1342,1,1,1018,147,793,90,1,0,0,90,90,NA,NA,NA,NA,NA,17065100,14573595.4,32.64473946,3.937118202,"australia",0,1,0,0.6503,0.1024,7.298512632,1,0.134747263209931,0.23370233702337,0.119633501890574,0,0,0,0,1,1418775.94,0.03690036900369
"53","aus1991","1991","aus",0,0,0,1,0.003690036900369,10,0,0,NA,0,0,0,1,2.90721e+11,16820.25695,1405,2761,1098,1398,1,1,1044,667,395,91,1,0,0,91,91,NA,NA,NA,NA,NA,17284000,14784733.6,32.60580602,-0.644783697,"australia",0,1,0,0.6476,0.0947,7.860913224,1,0.125727173009029,0.231242312423124,0.0319951255068106,0,0,0,0,1,1609241.36,0.022140221402214
"54","aus1992","1992","aus",0,0,0,1,0.003690036900369,10,0,0,NA,0,0,0,1,2.90858e+11,16625.23128,1421,3058,1630,354,1,1,1072,596,796,92,1,0,0,92,92,NA,NA,NA,NA,NA,17495000,14989716,33.39989056,0.047158572,"australia",0,0,0,0.6532,0.0902,8.328635388,1,0.135362269359992,0.231242312423124,0.0390676962325179,0,0,0,0,1,1667975.75,0.022140221402214
"55","aus1993","1993","aus",0,0,0,1,0.003690036900369,10,0,0,NA,0,0,0,1,3.01626e+11,17072.83772,1339,2801,1298,377,1,1,1076,597,953,93,1,0,0,93,93,NA,NA,NA,NA,NA,17667000,15161819.4,35.67886033,3.701939536,"australia",0,0,0,NA,-0.0034,NA,1,0.176772479729528,0.100123001230012,0.0359926654822104,0,0,0,0,1,1999241.12,0.022140221402214
"56","aus1994","1994","aus",0,0,0,1,0,10,0,0,NA,0,0,0,1,3.13998e+11,17586.02632,1928,2919,1440,466,1,1,1049,424,626,94,1,0,0,94,94,NA,NA,NA,NA,NA,17855000,15348158,36.7182113,4.101994858,"australia",0,0,0,NA,-0.0019,NA,1,0.0157703433923754,0.0686346863468635,0.0295351009065646,0,0,0,0,1,2137026.63,0
"57","aus1995","1995","aus",0,0,0,1,0.003690036900369,10,0,0,NA,0,0,0,1,3.27599e+11,18127.42487,1932,3819,1445,506,1,1,1001,402,262,94,1,0,0,95,95,NA,NA,NA,NA,NA,18072000,15559992,38.22365893,4.331333534,"australia",0,0,0,NA,-0.0205,NA,1,0.0678099339637197,0.0686346863468635,0.0285681745706346,0,0,0,0,1,2519712.78,0
"58","aus1996","1996","aus",0,0,0,1,0.022140221402214,10,0,0,NA,0,0,0,1,3.4103e+11,18624.34029,1553,2920,1660,471,1,1,937,152,1078,94,1,0,0,96,96,NA,NA,NA,NA,NA,18311000,15806055.2,38.76953125,4.099975918,"australia",0,0,0,NA,-0.0293,NA,1,0.11774741753854,0.20179889298893,0.0406204728713954,0,0,0,0,1,2870597.29,0.520295202952029
"59","aus1997","1997","aus",0,0,0,1,0.011070110701107,10,0,0,NA,0,0,0,1,3.5433e+11,19135.41289,1147,3065,1613,449,1,1,843,286,628,94,1,0,0,97,97,NA,NA,NA,NA,NA,18517000,16024611.8,38.50096574,3.899989421,"australia",0,0,0,NA,-0.0359,NA,0,0.133180513623318,0.306056805666096,0.0425830258302583,0,0,0,0,1,3075667.94,0.553505535055351
"60","aus1998","1998","aus",0,0,0,1,0.014760147601476,10,0,0,NA,0,0,0,1,3.70275e+11,19789.18357,1747,2889,1420,452,1,1,842,423,1015,94,1,0,0,98,98,NA,NA,NA,NA,NA,18711000,16233663.6,40.5938622,4.500029189,"australia",0,0,0,NA,NA,NA,0,0.12982904071465,0.387264697208376,0.0285608856088561,0,0,0,0,1,3688721.62,0.00738007380073801
"61","aus1999","1999","aus",0,0,0,1,0.003690036900369,10,0,0,NA,0,0,0,1,3.8953e+11,20581.71555,1988,2220,95,430,1,579,861,1,1122,94,1,0,0,99,99,NA,NA,NA,NA,NA,18926000,16461834.8,39.75490285,5.199949592,"australia",0,0,0,NA,NA,NA,0,0.122579341735446,0.329390820223992,0.0982017138579346,0,0,0,0,1,4372336.52,0.520295202952029
"62","aus2000","2000","aus",0,0,0,1,0.011070110701107,10,0,0,NA,0,0,0,1,4.05111e+11,21151.29985,1474,3824,1400,581,1,577,831,1,823,94,1,0,0,100,100,NA,NA,NA,NA,NA,19153000,16701416,41.82941689,4.000029639,"australia",0,0,0,NA,NA,NA,0,0.132690399367762,0.333077979902606,0.0339896458666079,0,0,0,0,1,5272429.95,0.509225092250922
"63","aut1970","1970","aut",1,0,1,0,0,10,0,0,NA,1,0,0,1,84520084761,11381.64352,132,2029,536,1,1,1,1,3,56,171,0,0,0,25,26,NA,NA,NA,NA,NA,7426000,4849178,58.05343724,NA,"austria",0,0,0,NA,NA,NA,NA,0,NA,0.0719557195571956,0,0,0,0,0,109125.12,NA
"64","aut1971","1971","aut",1,0,1,0,0,10,0,0,NA,1,0,0,1,88841717339,11909.07739,109,2124,880,1,1,1,1,3,205,172,0,0,0,26,27,NA,NA,NA,NA,NA,7460000,4871380,57.54200197,5.11314274,"austria",0,0,0,NA,NA,NA,NA,0,NA,0.0756457564575646,0,0,0,0,0,124253.72,NA
"65","aut1972","1972","aut",1,0,1,0,0,10,0,0,NA,1,0,0,1,94356919108,12564.17032,78,1907,839,1,1,1,1,3,23,173,0,0,0,27,28,NA,NA,NA,NA,NA,7510000,4904030,57.45090887,6.207896396,"austria",1,0,0,0.5212,0.1187,5.044620614,NA,0,NA,0.270848708487085,0,0,0,0,0,139359.15,NA
"66","aut1973","1973","aut",1,0,1,0,0,10,0,0,NA,1,0,0,1,98968398747,13103.19062,215,1694,745,1,1,1,1,3,1075,174,0,0,0,28,29,NA,NA,NA,NA,NA,7553000,4932109,57.61838654,4.887272372,"austria",1,0,0,0.5439,0.1044,5.987689698,NA,0,NA,0.742224565102794,0,0,0,0,0,163443.43,NA
"67","aut1974","1974","aut",1,0,1,0,0,10,0,0,NA,1,0,0,1,1.02871e+11,13600.14225,170,1595,535,1,1,1,1,2,1135,175,0,0,0,29,30,NA,NA,NA,NA,NA,7564000,4939292,63.0161095,3.943761095,"austria",1,0,0,0.5606,0.0933,6.908500521,NA,0,NA,0.857142857142857,0,0,0,0,0,191560.89,NA
