occ5_num,occ5,pres,aut,supervisor
0,Unemployment,18,-0.256,0.20382165605095542
1,Professional,59.670500000000004,-0.48336209075,0.16260939289135706
2,Managerial,48.14113475177305,-3.2365224690307324,0.44213356732033715
3,"Sales, Clerical, Services",34.54502164502164,-0.1119916484848485,0.09989130585239987
4,MFG Blue Collar,34.330120481927715,-0.076593573192771075,0.07066025413601146
5,Other Blue Collar,34.035471698113206,-0.21403600509433962,0.1748782921144209
